PG.ProteinGroups,R.FileName,protein_intensity,R.Condition,R.Replicate,intensity_rank,raw_protein_intensity
H9L435,E1_250721_25...E012_sample_23,50980.348841512925,EM9662,4,844,47588.8000138899
H9L435,E1_250721_25...E012_sample_01,47544.8302424099,TH9677,1,850,50490.6795246149
H9L435,E1_250721_25...E012_sample_07,50571.739383815846,TH9677,2,825,49279.5677727775
H9L435,E1_250721_25...E012_sample_13,44009.89982474743,TH9677,3,902,45160.2474158434
H9L435,E1_250721_25...E012_sample_19,44079.4371597284,TH9677,4,919,45537.8857635342
H9L437,E1_250721_25...E012_sample_06,15777.311100177993,EM16223,1,1766,14978.0227699109
H9L437,E1_250721_25...E012_sample_12,18376.94829722492,EM16223,2,1622,16709.9393623586
H9L437,E1_250721_25...E012_sample_18,16050.830428057467,EM16223,3,1750,15307.873535602
H9L437,E1_250721_25...E012_sample_24,10394.36352744961,EM16223,4,2083,10548.8840000506
H9L437,E1_250721_25...E012_sample_02,10563.59338390338,EM8513,1,2109,11590.3841541239
H9L437,E1_250721_25...E012_sample_08,9736.415585174553,EM8513,2,2149,10609.2615217826
H9L437,E1_250721_25...E012_sample_14,10604.929962272163,EM8513,3,2127,12707.2074391958
H9L437,E1_250721_25...E012_sample_20,11080.453207622819,EM8513,4,2133,11653.1168743477
H9L437,E1_250721_25...E012_sample_03,15733.440492566251,EM9660,1,1770,15947.4094582546
H9L437,E1_250721_25...E012_sample_09,12442.539194825216,EM9660,2,1970,13154.7452943262
H9L437,E1_250721_25...E012_sample_15,14537.98464408645,EM9660,3,1859,15427.3125020042
H9L437,E1_250721_25...E012_sample_21,13926.984128601614,EM9660,4,1877,15197.5013538089
H9L437,E1_250721_25...E012_sample_04,17582.323430447053,EM9661,1,1680,16536.4947913369
H9L437,E1_250721_25...E012_sample_10,13757.757134017644,EM9661,2,1842,13069.4209136321
H9L437,E1_250721_25...E012_sample_16,16059.753532160175,EM9661,3,1750,15472.113426961
H9L437,E1_250721_25...E012_sample_22,14141.203759712444,EM9661,4,1823,12429.1903177308
H9L437,E1_250721_25...E012_sample_05,20036.86588906842,EM9662,1,1566,18628.5623278975
H9L437,E1_250721_25...E012_sample_11,18818.125254260365,EM9662,2,1605,18074.036563153
H9L437,E1_250721_25...E012_sample_17,19261.731265817518,EM9662,3,1591,18337.8464758023
H9L437,E1_250721_25...E012_sample_23,17216.667821128714,EM9662,4,1685,16071.3015988251
H9L437,E1_250721_25...E012_sample_01,14509.003406279367,TH9677,1,1799,15407.9725907728
H9L437,E1_250721_25...E012_sample_07,17757.627498969334,TH9677,2,1645,17303.897759531
H9L437,E1_250721_25...E012_sample_13,13044.41473020834,TH9677,3,1934,13385.3746306377
H9L437,E1_250721_25...E012_sample_19,14181.920550125235,TH9677,4,1855,14651.1552672262
H9L438,E1_250721_25...E012_sample_06,9455.087757746966,EM16223,1,2160,8976.08716896266
H9L438,E1_250721_25...E012_sample_12,8494.731640397466,EM16223,2,2163,7724.157913204
H9L438,E1_250721_25...E012_sample_18,9259.763771082246,EM16223,3,2164,8831.15010233342
H9L438,E1_250721_25...E012_sample_24,10054.54401139842,EM16223,4,2111,10204.0127968922
H9L438,E1_250721_25...E012_sample_02,7194.560022814517,EM8513,1,2340,7893.87772264951
H9L438,E1_250721_25...E012_sample_08,7554.496889016588,EM8513,2,2289,8231.73913027185
H9L438,E1_250721_25...E012_sample_14,8418.383617190397,EM8513,3,2279,10087.2091854387
H9L438,E1_250721_25...E012_sample_20,8731.091047515669,EM8513,4,2310,9182.33419796184
H9L438,E1_250721_25...E012_sample_03,8708.915738224214,EM9660,1,2228,8827.35376795174
H9L438,E1_250721_25...E012_sample_09,8695.675601436416,EM9660,2,2228,9193.41268754506
H9L438,E1_250721_25...E012_sample_15,9050.065654353708,EM9660,3,2213,9603.68265832236
H9L438,E1_250721_25...E012_sample_21,8060.199703240531,EM9660,4,2289,8795.50768284444
H9L438,E1_250721_25...E012_sample_04,9951.845948155884,EM9661,1,2113,9359.89201523195
H9L438,E1_250721_25...E012_sample_10,10785.219705658488,EM9661,2,2015,10245.6072313356
H9L438,E1_250721_25...E012_sample_16,9238.624360874963,EM9661,3,2148,8900.57520087705
